Year,Tourist Visits - Domestic,Tourist Visits - Foreign,Annual Growth Rate - Domestic,Annual Growth Rate - Foreign
1991,66670303,3146652,NA,NA
2001,236469599,5436261,7.43,-7.76
2011,864532718,19497126,15.63,8.86
2012,1045047536,18263074,20.88,-6.33
2013,1142529465,19951026,9.33,9.24
2014,1282801629,22334031,12.28,11.94
2015,1431973794,23326163,11.63,4.44
2016,1615388619,24714503,12.81,5.95
2017,1657546152,26886684,2.61,8.79
2018,1853787719,28851130,11.84,7.31
2019,2321982663,31408666,25.26,8.86
2020,610216157,7171769,-73.72,-77.17
2021,677632981,1054642,11.05,-85.29
